0	8.716027
1	8.588929
2	12.445617
3	16.138285
4	19.526941
5	25.047612
6	25.658786
7	28.687974
8	32.613184
9	37.461915
10	40.910881
11	43.891134
12	46.139099
13	49.488744
14	52.924962
15	56.305745
16	61.254555
17	65.255656
18	65.768687
19	65.927835
20	67.476358
21	68.017834
22	69.34671
23	74.237411
24	81.272154
25	86.222714
26	88.727005
27	90.280194
28	85.150734
29	87.027015
30	98.286953
31	110.155303
32	122.312286
33	126.476845
34	128.066478
35	131.451858
36	134.677988
37	136.235733
38	137.189511
39	147.219957
40	146.284532
41	152.906189
42	157.428251
43	161.527188
44	168.787957
45	183.808396
46	166.323647
47	192.156162
48	197.579729
49	197.964178
50	186.768648
51	194.047983
52	183.953675
53	197.313185
54	184.838265
55	196.828488
56	198.856865
57	216.734999
58	204.958703
59	205.835909
60	206.5894
61	207.134418
62	212.455609
63	206.76468
64	220.4356
65	229.606857
66	220.835
67	239.849743
68	212.603666
69	249.1776
70	230.826
71	201.873529
72	271.311428
73	287.881666
74	306.843333
75	258.5
76	268.847777
77	283.7275
78	213.601578
79	264.49
80	159.574444
81	243.535
82	270.375
83	269.264999
84	293.775
85	130.044444
86	216.507142
87	204.808333
88	175.96375
89	378.493333
90	261.89
91	29.325
92	275.712
93	412.614
94	333.545714
95	359.961428
96	194.892499
97	212.466666
98	233.286
99	305.2825
100	53.278541
101	99.726666
102	190.534999
103	348.598
104	374.816
105	145.55
106	303.247499
107	0.3
108	518.05
109	8.0
110	294.895
111	257.55
112	166.5725
113	66.97
114	159.17
116	333.57
117	0.81
118	185.676666
119	442.87
122	441.885
123	415.0
124	192.8
126	687.84
127	206.175
128	161.51
129	0.8
130	185.815
132	54.464999
134	42.595
135	593.995
136	261.065
138	600.3
140	250.822499
143	284.993333
147	20.58
148	104.82
150	82.03
151	58.34
152	136.58
153	-0.486667
154	481.12
155	64.045
156	63.36
157	33.33
158	45.846666
159	120.46
160	8.993333
161	320.38
162	8.63
163	9.235
164	52.8
165	45.203333
166	17.045
167	92.83
168	37.328333
169	174.202
170	30.93
171	35.041666
172	26.256666
174	64.31375
175	38.248
176	75.3675
177	293.687499
178	5.63
179	304.7725
180	46.793333
181	27.878333
182	173.9725
183	23.2925
184	39.768571
185	30.982
186	60.59
188	8.63
189	333.559999
190	70.0
191	24.326666
192	641.02
193	64.17
196	588.8
197	676.905
199	16.335
